1 0.775305
2 0.848627
3 1.460740
4 1.991979
5 2.430157
6 2.599333
7 2.758111
8 2.863917
9 2.958850
10 3.017819
11 3.086009
12 3.185998
13 3.202182
14 3.195530
15 3.228932
16 3.254011
